First language,State,Region,Category,1991,2001,2011,1991_Per,2001_Per,2011_Per
Tamil,Tamil Nadu,"Non-Hindi, South",Monolinguals,40906120,45890773,49687022,84.5,82.2,77.9
Tamil,Tamil Nadu,"Non-Hindi, South",Atleast Bilinguals,7528624,9908143,14066975,15.5,17.8,22.1
Tamil,Tamil Nadu,"Non-Hindi, South",Hindi,245208,403882,882710,0.5,0.7,1.4
Tamil,Tamil Nadu,"Non-Hindi, South",English,6559929,8448219,11766269,13.5,15.1,18.5
MALAYALAM,Kerala,"Non-Hindi, South",Monolinguals,20945968,23048731,24832842,74.6,74.8,76.6
MALAYALAM,Kerala,"Non-Hindi, South",Atleast Bilinguals,7150408,7755016,7580371,25.4,25.2,23.4
MALAYALAM,Kerala,"Non-Hindi, South",Hindi,5189328,4237974,2929361,18.5,13.8,9
MALAYALAM,Kerala,"Non-Hindi, South",English,6594148,6893409,6573645,23.5,22.4,20.3
MARATHI,Maharashtra,"Non-Hindi, West",Monolinguals,43326623,40314235,42284503,74.8,60.5,54.6
MARATHI,Maharashtra,"Non-Hindi, West",Atleast Bilinguals,14568216,26329707,35176669,25.2,39.5,45.4
MARATHI,Maharashtra,"Non-Hindi, West",Hindi,14568216,25461172,33734859,25.2,38.2,43.6
MARATHI,Maharashtra,"Non-Hindi, West",English,7001385,9556078,11040606,12.1,14.3,14.3
Telugu,Andhra Pradesh,"Non-Hindi, South",Monolinguals,49018963,52318057,58022781,87,81.9,82.1
Telugu,Andhra Pradesh,"Non-Hindi, South",Atleast Bilinguals,7356792,11586734,12644999,13,18.1,17.9
Telugu,Andhra Pradesh,"Non-Hindi, South",English,6229278,9070838,9465846,11,14.2,13.4
Telugu,Andhra Pradesh,"Non-Hindi, South",Hindi,3111891,7020978,6172805,5.5,11,8.7
Gujarati,Gujarat,"Non-Hindi, West",Monolinguals,29607447,28649532,31281194,78.3,67,60.2
Gujarati,Gujarat,"Non-Hindi, West",Atleast Bilinguals,8185486,14118854,20677536,21.7,33,39.8
Gujarati,Gujarat,"Non-Hindi, West",Hindi,8185486,13794663,20236007,21.7,32.3,38.9
Gujarati,Gujarat,"Non-Hindi, West",English,3617604,4987571,6653637,9.6,11.7,12.8
Kannada,Karnataka,"Non-Hindi, South",Monolinguals,23798072,26158354,31259340,79.9,75.1,76.9
Kannada,Karnataka,"Non-Hindi, South",Atleast Bilinguals,5986932,8679681,9391750,20.1,24.9,23.1
Kannada,Karnataka,"Non-Hindi, South",English,3598146,4574915,4063169,12.1,13.1,10
Kannada,Karnataka,"Non-Hindi, South",Hindi,2552678,4165957,3470850,8.6,12,8.5
Hindi,Bihar,"Hindi, Central & East",Monolinguals,63051472,57783926,76873869,90.3,95.3,95.3
Hindi,Bihar,"Hindi, Central & East",Atleast Bilinguals,6794507,2851358,3824597,9.7,4.7,4.7
Hindi,Bihar,"Hindi, Central & East",English,6096047,2122512,1944491,8.7,3.5,2.4
Odia,Odisha,"Non-Hindi, East",Monolinguals,22510368,23515337,25861929,85.9,76.9,74.5
Odia,Odisha,"Non-Hindi, East",Atleast Bilinguals,3688978,7048170,8850241,14.1,23.1,25.5
Odia,Odisha,"Non-Hindi, East",English,3426985,5980661,6655586,13.1,19.6,19.2
Odia,Odisha,"Non-Hindi, East",Hindi,2636790,4492452,5786689,10.1,14.7,16.7
Bengali,West Bengal,"Non-Hindi, East",Monolinguals,52912952,57394468,70403464,90.4,83.9,89.5
Bengali,West Bengal,"Non-Hindi, East",Atleast Bilinguals,5628567,10974787,8295388,9.6,16.1,10.5
Bengali,West Bengal,"Non-Hindi, East",English,5023974,9030392,4925660,8.6,13.2,6.3
Bengali,West Bengal,"Non-Hindi, East",Hindi,2380016,4674622,4782240,4.1,6.8,6.1
Hindi,Madhya Pradesh,"Hindi, Central & East",Monolinguals,52861145,48283596,59807653,93.4,91.7,93
Hindi,Madhya Pradesh,"Hindi, Central & East",Atleast Bilinguals,3757945,4375091,4517310,6.6,8.3,7
Hindi,Madhya Pradesh,"Hindi, Central & East",English,3757945,3723078,3488231,6.6,7.1,5.4
